vin,year,make,model,trim,price,miles,cpo,dealer,city,state,zip,listing_url
5UX43DP0XR9T98833,2024,BMW,X3,sDrive30i,37080,31200,True,BMW of Sherman Oaks,Van Nuys,CA,,https://www.lithia.com/catcher.esl?vin=5UX43DP0XR9T98833&utm_source=autolist&utm_medium=referral&utm_campaign=vdp_deep_link
5UX43DP09P9R62498,2023,BMW,X3,sDrive30i,31893,37245,True,Pacific BMW,Glendale,CA,,https://www.autolist.com/bmw-x3#vin=5UX43DP09P9R62498
5UX43DP09R9T52202,2024,BMW,X3,sDrive30i,31080,38471,True,BMW of Sherman Oaks,Van Nuys,CA,,https://www.lithia.com/catcher.esl?vin=5UX43DP09R9T52202&utm_source=autolist&utm_medium=referral&utm_campaign=vdp_deep_link
WA1BAAFYXM2116092,2021,Audi,Q5,45 Premium,19162,70465,True,sunrise ford,Fontana,CA,92335,https://sunrisefordnoho.com/certified/Audi/2021-Audi-Q5-081c3e38ac185c8404187acee6179b6e.htm
WA12AAGU4S2028292,2025,Audi,Q5,Premium Plus,42334,7607,True,Audi San Diego,San Diego,CA,92126,https://www.autolist.com/audi-q5#vin=WA12AAGU4S2028292
WA12AAGU8S2043202,2025,Audi,Q5,Premium Plus,44865,5472,True,Rusnak/Westlake Audi,Westlake Village,CA,91362,https://www.autolist.com/audi-q5#vin=WA12AAGU8S2043202
WA12AAGU8S2084591,2025,Audi,Q5,Premium Plus,45865,6164,True,Rusnak/Westlake Audi,Westlake Village,CA,91362,https://www.autolist.com/audi-q5#vin=WA12AAGU8S2084591
WA12AAGU9S2084776,2025,Audi,Q5,Premium Plus,45865,5266,True,Rusnak/Westlake Audi,Westlake Village,CA,91362,https://www.autolist.com/audi-q5#vin=WA12AAGU9S2084776
WA12AAGU2T2007426,2026,Audi,Q5,Premium Plus,50882,2885,True,Audi Riverside,Riverside,CA,92504,https://www.carfax.com/vehicle/WA12AAGU2T2007426
WA12AAGU1S2084173,2025,Audi,Q5,Premium Plus,45865,5121,True,Rusnak/Westlake Audi,Westlake Village,CA,91362,https://www.autolist.com/audi-q5#vin=WA12AAGU1S2084173
WA12AAGUXS2083250,2025,Audi,Q5,Premium Plus,45865,4480,True,Rusnak/Westlake Audi,Westlake Village,CA,91362,https://www.autolist.com/audi-q5#vin=WA12AAGUXS2083250
WA11AAGU3S2042096,2025,Audi,Q5,Premium,38474,6070,True,Audi San Diego,San Diego,CA,92126,https://www.autolist.com/audi-q5#vin=WA11AAGU3S2042096
WA11AAGU8S2041042,2025,Audi,Q5,Premium,39284,6591,True,Audi San Diego,San Diego,CA,92126,https://www.autolist.com/audi-q5#vin=WA11AAGU8S2041042
WA11AAGU9S2040093,2025,Audi,Q5,Premium,40045,6635,True,Audi San Diego,San Diego,CA,92126,https://www.autolist.com/audi-q5#vin=WA11AAGU9S2040093
WA11AAGUXS2017244,2025,Audi,Q5,Premium,40084,6731,True,Audi San Diego,San Diego,CA,92126,https://www.autolist.com/audi-q5#vin=WA11AAGUXS2017244
WA11AAGUXS2041155,2025,Audi,Q5,Premium,39324,7134,True,Audi San Diego,San Diego,CA,92126,https://www.autolist.com/audi-q5#vin=WA11AAGUXS2041155
WA11AAGU0S2102187,2025,Audi,Q5,Premium,40008,7546,True,Audi Ontario,Ontario,CA,91764,https://www.carfax.com/vehicle/WA11AAGU0S2102187
WA11AAGU1S2065991,2025,Audi,Q5,Premium,40897,7226,True,Audi Riverside,Riverside,CA,92504,https://www.carfax.com/vehicle/WA11AAGU1S2065991
WA12AAGU0S2034624,2025,Audi,Q5,Premium Plus,43836,6793,True,Audi Ontario,Ontario,CA,91764,https://www.carfax.com/vehicle/WA12AAGU0S2034624
WA12AAGU9S2092439,2025,Audi,Q5,Premium Plus,41585,9811,True,Audi Riverside,Riverside,CA,92504,https://www.carfax.com/vehicle/WA12AAGU9S2092439
WA11AAGU0S2073807,2025,Audi,Q5,Premium,39074,7106,True,Audi San Diego,San Diego,CA,92126,https://www.autolist.com/audi-q5#vin=WA11AAGU0S2073807
WA12AAGU3S2043737,2025,Audi,Q5,Premium Plus,42615,7679,True,Audi Pacific,Torrance,CA,90503,https://www.carfax.com/vehicle/WA12AAGU3S2043737
WA12AAGU7S2041960,2025,Audi,Q5,Premium Plus,41665,6442,True,Audi San Diego,San Diego,CA,92126,https://www.autolist.com/audi-q5#vin=WA12AAGU7S2041960
WA12AAGU0S2031979,2025,Audi,Q5,Premium Plus,42850,4815,True,Rusnak/Westlake Audi,Westlake Village,CA,91362,https://www.autolist.com/audi-q5#vin=WA12AAGU0S2031979
WA12AAGU9S2048215,2025,Audi,Q5,Premium Plus,41997,1234,True,Audi Riverside,Riverside,CA,92504,https://www.carfax.com/vehicle/WA12AAGU9S2048215
WA1G2AFY6P2075662,2023,Audi,Q5,Premium S line,35991,26687,True,Audi North OC,Placentia,CA,92870,https://www.autolist.com/audi-q5#vin=WA1G2AFY6P2075662
WA12AAGU2S2098308,2025,Audi,Q5,Premium Plus,42685,7598,True,Audi Ontario,Ontario,CA,91764,https://www.carfax.com/vehicle/WA12AAGU2S2098308
WA1E2AFY4S2006789,2025,Audi,Q5,Premium Plus S line,45299,8937,True,Audi Escondido,Escondido,CA,92029,https://www.autolist.com/audi-q5#vin=WA1E2AFY4S2006789
WA1E2AFY9R2010797,2024,Audi,Q5,Premium Plus S line,38999,28904,True,Audi Escondido,Escondido,CA,92029,https://www.autolist.com/audi-q5#vin=WA1E2AFY9R2010797
WA11AAGUXS2025005,2025,Audi,Q5,Premium,40675,9560,True,Audi Pacific,Torrance,CA,90503,https://www.carfax.com/vehicle/WA11AAGUXS2025005
WA12AAGU5S2043836,2025,Audi,Q5,Premium Plus,42675,2122,True,Audi Pacific,Torrance,CA,90503,https://www.carfax.com/vehicle/WA12AAGU5S2043836
WA1EAAFY9P2163857,2023,Audi,Q5,Premium Plus S line,29799,34944,True,Audi Escondido,Escondido,CA,92029,https://www.autolist.com/audi-q5#vin=WA1EAAFY9P2163857
W1N0G8DB1NG115669,2022,Mercedes-Benz,GLC 300,GLC 300,33999,36047,True,mercedes benz of escondido,Escondido,CA,92025,https://mbescondido.com/certified/Mercedes-Benz/2022-Mercedes-Benz-GLC-300-d0ff66a4ac182d59c0f767e2f62e629e.htm
W1N0G8DB9MV269217,2021,Mercedes-Benz,GLC 300,GLC 300,24999,67138,True,mercedes benz of escondido,Escondido,CA,92025,https://mbescondido.com/certified/Mercedes-Benz/2021-Mercedes-Benz-GLC-300-5a132ffeac182f002812faebc031fced.htm
W1NKM4GB1TF478644,2026,Mercedes-Benz,GLC 300,GLC 300,56065,9842,True,mercedes benz of escondido,Escondido,CA,92025,https://mbescondido.com/certified/Mercedes-Benz/2026-Mercedes-Benz-GLC-300-2768ccf6ac18090df99629c93225424d.htm
W1NKM4GB1TF485299,2026,Mercedes-Benz,GLC 300,GLC 300,58415,9118,True,mercedes benz of escondido,Escondido,CA,92025,https://mbescondido.com/certified/Mercedes-Benz/2026-Mercedes-Benz-GLC-300-5e566727ac18460669bf321091975dcb.htm
W1NKM4GB6TF524050,2026,Mercedes-Benz,GLC 300,GLC 300,52735,9368,True,mercedes benz of escondido,Escondido,CA,92025,https://mbescondido.com/certified/Mercedes-Benz/2026-Mercedes-Benz-GLC-300-59a1cc74ac18090da9ed9f9d5801f79d.htm
W1NKM4HB2TF559330,2026,Mercedes-Benz,GLC 300,4MATIC,55150,3951,True,mercedes benz of escondido,Escondido,CA,92025,https://mbescondido.com/certified/Mercedes-Benz/2026-Mercedes-Benz-GLC-300-5a133580ac183155ec812252bf9d5f1c.htm
W1NKM4HB2TU121497,2026,Mercedes-Benz,GLC 300,4MATIC,55570,2722,True,mercedes benz of escondido,Escondido,CA,92025,https://mbescondido.com/certified/Mercedes-Benz/2026-Mercedes-Benz-GLC-300-5a13248cac180b7620d871aed9ea2c6a.htm
W1NKM4HB3TU118219,2026,Mercedes-Benz,GLC 300,4MATIC,54685,5269,True,mercedes benz of escondido,Escondido,CA,92025,https://mbescondido.com/certified/Mercedes-Benz/2026-Mercedes-Benz-GLC-300-4b75959eac185c86e20efac40a1fae8f.htm
W1NKM4HB5TF471503,2026,Mercedes-Benz,GLC 300,4MATIC,62035,9353,True,mercedes benz of escondido,Escondido,CA,92025,https://mbescondido.com/certified/Mercedes-Benz/2026-Mercedes-Benz-GLC-300-86eeaf02ac1824b1018118ba05a57156.htm
W1NKM4HB5TF518433,2026,Mercedes-Benz,GLC 300,4MATIC,54100,4258,True,mercedes benz of escondido,Escondido,CA,92025,https://mbescondido.com/certified/Mercedes-Benz/2026-Mercedes-Benz-GLC-300-4b75927eac18090da9ed9f9d77913aeb.htm
W1NKM4HB6TU118439,2026,Mercedes-Benz,GLC 300,4MATIC,55335,5010,True,mercedes benz of escondido,Escondido,CA,92025,https://mbescondido.com/certified/Mercedes-Benz/2026-Mercedes-Benz-GLC-300-5a133436ac181e63234f4fee35d5dda1.htm
W1NKM4HB7TF529403,2026,Mercedes-Benz,GLC 300,4MATIC,54685,2673,True,mercedes benz of escondido,Escondido,CA,92025,https://mbescondido.com/certified/Mercedes-Benz/2026-Mercedes-Benz-GLC-300-5a132a46ac18416bf204246dc60b8a3f.htm
W1NKM4HB8TF473682,2026,Mercedes-Benz,GLC 300,4MATIC,62685,9099,True,mercedes benz of escondido,Escondido,CA,92025,https://mbescondido.com/certified/Mercedes-Benz/2026-Mercedes-Benz-GLC-300-5e56688eac180b7620d871ae58a351e9.htm
W1NKM4HB9TF533680,2026,Mercedes-Benz,GLC 300,4MATIC,54685,3772,True,mercedes benz of escondido,Escondido,CA,92025,https://mbescondido.com/certified/Mercedes-Benz/2026-Mercedes-Benz-GLC-300-5a132365ac181c35d475de4c74b8f86a.htm
W1NKM4HBXTU108190,2026,Mercedes-Benz,GLC 300,4MATIC,57940,9383,True,mercedes benz of escondido,Escondido,CA,92025,https://mbescondido.com/certified/Mercedes-Benz/2026-Mercedes-Benz-GLC-300-40504dc4ac183b953cbae2d123293c23.htm
W1NKM4GB1TF517250,2026,Mercedes-Benz,GLC 300,GLC 300,85,5556,True,mercedes benz of west covina,West Covina,CA,91791,https://mbwestcovina.com/certified/Mercedes-Benz/2026-Mercedes-Benz-GLC-300-44982b5cac180b4132bfb5712d6f4bf7.htm
W1NKM4GB5TF498654,2026,Mercedes-Benz,GLC 300,GLC 300,85,5247,True,mercedes benz of west covina,West Covina,CA,91791,https://mbwestcovina.com/certified/Mercedes-Benz/2026-Mercedes-Benz-GLC-300-44982583ac18460621052e7cec9cb56f.htm
W1NKM4GB8TF488376,2026,Mercedes-Benz,GLC 300,GLC 300,85,6834,True,mercedes benz of west covina,West Covina,CA,91791,https://mbwestcovina.com/certified/Mercedes-Benz/2026-Mercedes-Benz-GLC-300-44983cabac1827bd9540ac67913472ad.htm
W1N0G8EB2NV396360,2022,Mercedes-Benz,GLC 300,4MATIC,28999,27723,True,crown lexus,Ontario,CA,91761,https://crownlexus.com/certified/Mercedes-Benz/2022-Mercedes-Benz-GLC-300-59caec29ac1838d3cd4b4fc156c16158.htm
W1N0J8EB5PG165591,2023,Mercedes-Benz,GLC 300,4MATIC,38598,41087,True,crown lexus,Ontario,CA,91761,https://crownlexus.com/certified/Mercedes-Benz/2023-Mercedes-Benz-GLC-300-f2887b12ac18490df754131489d68bf9.htm
W1N0J8EB8PG165682,2023,Mercedes-Benz,GLC 300,GLC 300,38596,28928,True,crown lexus,Ontario,CA,91761,https://crownlexus.com/certified/Mercedes-Benz/2023-Mercedes-Benz-GLC-300-716769feac18347aee8c697d50ce6f33.htm
W1NKM4GB8TF578868,2026,Mercedes-Benz,GLC 300,GLC 300,45999,4997,True,crown lexus,Ontario,CA,91761,https://crownlexus.com/certified/Mercedes-Benz/2026-Mercedes-Benz-GLC-300-d90b8fe7ac180e13b403183b1dcdf2e7.htm
W1NKM4GBXTF581853,2026,Mercedes-Benz,GLC 300,GLC 300,44999,6628,True,crown lexus,Ontario,CA,91761,https://crownlexus.com/certified/Mercedes-Benz/2026-Mercedes-Benz-GLC-300-d8e96956ac182b044d8bf2dd4d7450db.htm
W1NKM4HB1PF026908,2023,Mercedes-Benz,GLC 300,4MATIC,34998,22721,True,crown lexus,Ontario,CA,91761,https://crownlexus.com/certified/Mercedes-Benz/2023-Mercedes-Benz-GLC-300-c955b5a8ac18044492d276165a484ca1.htm
